Machine Model;Brand;Part Code;Part Name (GR);Part Name (EN);Category;System;Image;Status;Replaced By;Notes
Lattissima Plus;–;95488;Δοχείο Νερού με Μαύρο Καπάκι;Water Tank (Black Lid);Water Tank / Lid;OL;95488.jpg;Active;;
;Krups;95313;Δοχείο Κάψουλων;Capsule Container;Capsule Container / Grid;VL;95313.jpg;Active;;
;DeLonghi;95314;Δοχείο Κάψουλων;Capsule Container;Capsule Container / Grid;VL;95314.jpg;Active;;
Prodigio;–;95324;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;VL;95324.jpg;Active;;
Prodigio;–;95325;Καπάκι Δοχείου Νερού;Water Tank Lid;Water Tank / Lid;VL;95325.jpg;Active;;
Prodigio;Krups;95318;Βάση Στήριξης Κούπας;Cup Support Base;Cup Support / Stand;VL;95318.jpg;Active;;
Prodigio;DeLonghi;95316;Βάση Στήριξης Κούπας;Cup Support Base;Cup Support / Stand;VL;95316.jpg;Active;;
Prodigio;Krups;95322;Σχάρα Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;VL;95322.jpg;Active;;
Prodigio;DeLonghi;95323;Σχάρα Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;VL;95323.jpg;Active;;
Lattissima;–;92282;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;92282.jpg;Phased Out;;
Lattissima;–;92281;Δοχείο Καψουλών;Capsule Container;Capsule Container / Grid;OL;92281.jpg;Active;;
Lattissima;–;92349;Δοχείο Νερού Μαύρο;Water Tank Black;Water Tank / Lid;OL;92349.jpg;Active;;
Lattissima;–;92290;Δοχείο Νερού Ασημί;Water Tank Silver;Water Tank / Lid;OL;92290.jpg;Active;;
Lattissima;–;92288;Βρυσάκι Νερού;Water Spout;Water / Outlet / Valve System;OL;92288.jpg;Active;;
Lattissima;–;92287;Πλέγμα Στάγδην (csepprács);Drip Grid;Drip Tray / Grid;OL;92287.jpg;Active;;
Lattissima;–;92289;Δοχείο Νερού Λευκό;Water Tank White;Water Tank / Lid;OL;92289.jpg;Active;;
Lattissima;–;92348;Δοχείο Νερού Κόκκινο;Water Tank Red;Water Tank / Lid;OL;92348.jpg;Active;;
Lattissima;–;92283;Καράφα χωρίς το δοχείο γάλακτος;Milk Carafe Head;Milk System;OL;92283.jpg;Active;;
Lattissima;–;92284;Δοχείο γάλακτος;Milk Container;Milk System;OL;92284.jpg;Active;;
Lattissima;–;92285;Σωλήνας απορρόφησης γάλακτος;Milk Suction Tube;Milk System;OL;92285.jpg;Active;;
Maestria;–;93224;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;93224.jpg;Phased Out;;
Maestria;–;93231;Δοχείο Καψουλών;Capsule Container;Capsule Container / Grid;OL;93231.jpg;Active;;
Maestria;–;93230;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;93230.jpg;Active;;
Maestria;–;93232;Ακροφύσιο Ατμού;Steam Nozzle;Milk System;OL;93232.jpg;Active;;
Gran Maestria;–;93238;Βάση Δίσκου Συλλογής Σταγόνων;Drip Tray Base;Drip Tray / Grid;OL;93238.jpg;Active;;
Maestria;–;93240;Βάση Θέρμανσης Κούπας;Cup Warmer Base;Cup Warmer;OL;93240.jpg;Active;;
Maestria;–;93226;Βάση Στήριξης Κούπας;Cup Support Base;Cup Support / Stand;OL;93226.jpg;Active;;
Gran Maestria;–;93237;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;93237.jpg;Active;;
Gran Maestria;–;93233;Κάλυμμα Δίσκου Αποστράγγισης Titanium;Drip Tray Cover Titanium;Drip Tray / Grid;OL;93233.jpg;Active;;
Gran Maestria;–;93234;Κάλυμμα Δίσκου Αποστράγγισης Silver;Drip Tray Cover Silver;Drip Tray / Grid;OL;93234.jpg;Active;;
Gran Maestria;–;93236;Κόκκινο Φλοτέρ;Red Floater;Drip Tray / Grid;OL;93236.jpg;Active;;
NEXT;–;96663;Καπάκι Δοχείου Νερού;Water Tank Lid;Water Tank / Lid;VL;96663.jpg;Active;;
NEXT;–;96662;Δοχείο Νερού;Water Tank;Water Tank / Lid;VL;96662.jpg;Active;;
NEXT;–;96664;Δοχείο Καψουλών;Capsule Container;Capsule Container / Grid;VL;96664.jpg;Active;;
NEXT;–;96697;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;VL;96697.jpg;Active;;
NEXT;–;96656;Βάση Στήριξης Κούπας;Cup Support Base;Cup Support / Stand;VL;96656.jpg;Active;;
NEXT;Krups;96665;Σχαράκι Κούπας;Cup Grid;Cup Support / Stand;VL;96665.jpg;Active;;
NEXT;DeLonghi;96666;Σχαράκι Κούπας;Cup Grid;Cup Support / Stand;VL;96666.jpg;Active;;
NEXT;–;96667;Μεταλλική Βάση Στήριξης Κούπας;Metal Cup Support;Cup Support / Stand;VL;96667.jpg;Active;;
NEXT;–;96674;Ροζ Χρυσό Βάση Στήριξης Κούπας;Rose Gold Cup Support;Cup Support / Stand;VL;96674.jpg;Active;;
Plus;DeLonghi;95874;Καπάκι δοχείου νερού GDB VL Plus;Water Tank Lid;Water Tank / Lid;VL;95874.jpg;Active;;
Plus;–;95870;Δοχείο καψουλών;Capsule Container;Capsule Container / Grid;VL;95870.jpg;Active;;
Plus;–;95871;Σχαράκι κούπας & για τις 2;Cup Grid;Cup Support / Stand;VL;95871.jpg;Active;;
Plus;Krups;95875;Καπάκι δοχείου νερού GCB VL Plus;Water Tank Lid;Water Tank / Lid;VL;95875.jpg;Active;;
